iter	Passed	Remaining
238	1040	3313
239	1043	3305
240	1047	3297
241	1051	3292
242	1054	3284
243	1057	3275
244	1060	3269
245	1064	3261
246	1067	3253
247	1070	3245
248	1074	3240
249	1077	3232
250	1080	3224
251	1084	3219
252	1088	3212
253	1091	3205
254	1095	3200
255	1098	3192
256	1102	3186
257	1105	3178
258	1108	3170
259	1111	3163
260	1115	3157
261	1118	3150
262	1121	3142
263	1124	3136
264	1128	3130
265	1132	3123
266	1136	3119
267	1139	3112
268	1142	3105
269	1145	3098
270	1149	3092
271	1152	3085
272	1156	3078
273	1159	3071
274	1162	3064
275	1165	3057
276	1169	3051
277	1172	3045
278	1175	3037
279	1178	3031
280	1182	3025
281	1185	3018
282	1190	3016
283	1193	3009
284	1196	3002
285	1200	2996
286	1203	2990
287	1206	2983
288	1211	2979
289	1214	2972
290	1217	2966
291	1220	2959
292	1224	2953
293	1227	2947
294	1230	2940
295	1234	2935
296	1237	2929
297	1240	2922
298	1244	2916
299	1247	2910
300	1250	2903
301	1253	2898
302	1257	2892
303	1260	2885
304	1263	2880
305	1267	2874
306	1270	2868
307	1273	2862
308	1278	2858
309	1281	2852
310	1284	2846
311	1288	2840
312	1291	2834
313	1294	2827
314	1298	2822
315	1301	2816
316	1304	2810
317	1307	2805
318	1311	2798
319	1314	2792
320	1317	2786
321	1321	2781
322	1324	2775
323	1327	2769
324	1330	2764
325	1333	2757
326	1336	2751
327	1341	2747
328	1344	2742
329	1347	2735
330	1351	2731
331	1354	2724
332	1357	2718
333	1360	2712
334	1363	2707
335	1366	2700
336	1369	2694
337	1373	2690
338	1376	2684
339	1380	2678
340	1384	2675
341	1387	2669
342	1391	2664
343	1395	2660
344	1398	2655
345	1401	2649
346	1406	2647
347	1410	2641
348	1413	2637
349	1417	2632
350	1421	2627
351	1424	2622
352	1428	2617
353	1431	2611
354	1434	2606
355	1438	2601
356	1441	2596
357	1444	2590
358	1448	2586
359	1451	2581
360	1454	2575
361	1458	2571
362	1462	2566
363	1465	2560
364	1469	2556
365	1472	2551
366	1476	2545
367	1479	2541
368	1483	2536
369	1486	2530
370	1489	2526
371	1493	2520
372	1496	2515
373	1499	2509
374	1502	2504
375	1506	2499
376	1509	2494
377	1513	2490
378	1516	2484
379	1520	2480
380	1525	2477
381	1528	2472
382	1531	2467
383	1535	2462
384	1538	2458
385	1542	2453
386	1545	2448
387	1548	2442
388	1551	2437
389	1555	2432
390	1558	2427
391	1561	2422
392	1565	2418
393	1569	2414
394	1573	2409
395	1578	2407
396	1581	2402
397	1584	2397
398	1588	2393
399	1591	2387
400	1595	2382
401	1599	2378
402	1602	2373
403	1605	2368
404	1610	2366
405	1613	2360
406	1616	2355
407	1620	2350
408	1623	2346
409	1626	2340
410	1630	2336
411	1633	2331
412	1636	2326
413	1639	2321
414	1643	2316
415	1646	2311
416	1650	2306
417	1653	2302
418	1656	2297
419	1660	2292
420	1664	2289
421	1667	2284
422	1670	2279
423	1676	2277
424	1679	2272
425	1685	2270
